Date,Region,Product_Category,Revenue,COGS,Operating_Expenses,Marketing_Spend,R&D_Investment,Gross_Profit,Net_Profit,Units_Sold,Customer_Count,Customer_Acquisition_Cost,Churn_Rate
2024-01-15,North_America,Software,450000,135000,95000,45000,35000,315000,140000,1250,450,100,2.3
2024-01-15,Europe,Software,380000,114000,82000,38000,28000,266000,118000,1050,380,100,2.1
2024-01-15,Asia_Pacific,Software,320000,96000,68000,32000,24000,224000,100000,890,320,100,2.5
2024-01-15,North_America,Hardware,280000,168000,48000,28000,15000,112000,21000,560,280,100,3.2
2024-01-15,Europe,Hardware,240000,144000,42000,24000,12000,96000,18000,480,240,100,3.0
2024-02-15,North_America,Software,475000,142500,98000,47000,38000,332500,149500,1320,475,99,2.2
2024-02-15,Europe,Software,395000,118500,85000,39500,29000,276500,122500,1100,395,100,2.0
2024-02-15,Asia_Pacific,Software,335000,100500,71000,33500,25000,234500,105000,930,335,100,2.4
2024-02-15,North_America,Hardware,295000,177000,50000,29500,16000,118000,22500,590,295,100,3.1
2024-02-15,Europe,Hardware,250000,150000,44000,25000,13000,100000,18000,500,250,100,2.9
2024-03-15,North_America,Software,510000,153000,102000,51000,40000,357000,164000,1420,510,100,2.1
2024-03-15,Europe,Software,425000,127500,89000,42500,31000,297500,135000,1180,425,100,1.9
2024-03-15,Asia_Pacific,Software,365000,109500,76000,36500,27000,255500,116000,1015,365,100,2.3
2024-03-15,North_America,Hardware,320000,192000,54000,32000,18000,128000,24000,640,320,100,3.0
2024-03-15,Europe,Hardware,275000,165000,48000,27500,14000,110000,20500,550,275,100,2.8
2024-04-15,North_America,Software,525000,157500,105000,52500,42000,367500,168000,1460,525,100,2.0
2024-04-15,Europe,Software,440000,132000,92000,44000,32000,308000,140000,1220,440,100,1.8
2024-04-15,Asia_Pacific,Software,380000,114000,79000,38000,28000,266000,121000,1055,380,100,2.2
2024-04-15,North_America,Hardware,335000,201000,56000,33500,19000,134000,25500,670,335,100,2.9
2024-04-15,Europe,Hardware,285000,171000,50000,28500,15000,114000,21500,570,285,100,2.7
2024-05-15,North_America,Software,565000,169500,112000,56500,45000,395500,181500,1570,565,100,1.9
2024-05-15,Europe,Software,470000,141000,98000,47000,34000,329000,150000,1305,470,100,1.7
2024-05-15,Asia_Pacific,Software,410000,123000,85000,41000,30000,287000,131000,1140,410,100,2.1
2024-05-15,North_America,Hardware,360000,216000,60000,36000,20000,144000,28000,720,360,100,2.8
2024-05-15,Europe,Hardware,305000,183000,54000,30500,16000,122000,21500,610,305,100,2.6
2024-06-15,North_America,Software,590000,177000,118000,59000,47000,413000,189000,1640,590,99,1.8
2024-06-15,Europe,Software,495000,148500,103000,49500,36000,346500,158500,1375,495,100,1.6
2024-06-15,Asia_Pacific,Software,430000,129000,89000,43000,32000,301000,137000,1195,430,100,2.0
2024-06-15,North_America,Hardware,380000,228000,63000,38000,21000,152000,30000,760,380,100,2.7
2024-06-15,Europe,Hardware,320000,192000,56000,32000,17000,128000,23000,640,320,100,2.5
2024-07-15,North_America,Software,620000,186000,124000,62000,50000,434000,198000,1725,620,100,1.7
2024-07-15,Europe,Software,520000,156000,108000,52000,38000,364000,166000,1445,520,100,1.5
2024-07-15,Asia_Pacific,Software,455000,136500,94000,45500,34000,318500,145500,1265,455,100,1.9
2024-07-15,North_America,Hardware,405000,243000,67000,40500,23000,162000,31500,810,405,100,2.6
2024-07-15,Europe,Hardware,340000,204000,60000,34000,18000,136000,24000,680,340,100,2.4
2024-08-15,North_America,Software,655000,196500,130000,65500,53000,458500,209500,1820,655,99,1.6
2024-08-15,Europe,Software,545000,163500,113000,54500,40000,381500,174000,1515,545,100,1.4
2024-08-15,Asia_Pacific,Software,480000,144000,99000,48000,36000,336000,153000,1335,480,100,1.8
2024-08-15,North_America,Hardware,430000,258000,71000,43000,24000,172000,34000,860,430,100,2.5
2024-08-15,Europe,Hardware,360000,216000,63000,36000,19000,144000,26000,720,360,100,2.3
2024-09-15,North_America,Software,690000,207000,137000,69000,55000,483000,222000,1920,690,100,1.5
2024-09-15,Europe,Software,575000,172500,119000,57500,42000,402500,184500,1600,575,100,1.3
2024-09-15,Asia_Pacific,Software,505000,151500,104000,50500,38000,353500,161500,1405,505,100,1.7
2024-09-15,North_America,Hardware,455000,273000,75000,45500,26000,182000,35500,910,455,100,2.4
2024-09-15,Europe,Hardware,385000,231000,67000,38500,20000,154000,28500,770,385,100,2.2
2024-10-15,North_America,Software,725000,217500,143000,72500,58000,507500,234500,2015,725,100,1.4
2024-10-15,Europe,Software,605000,181500,124000,60500,44000,423500,195000,1680,605,100,1.2
2024-10-15,Asia_Pacific,Software,530000,159000,109000,53000,40000,371000,169000,1475,530,100,1.6
2024-10-15,North_America,Hardware,480000,288000,79000,48000,27000,192000,38000,960,480,100,2.3
2024-10-15,Europe,Hardware,410000,246000,71000,41000,21000,164000,31000,820,410,100,2.1
2024-11-15,North_America,Software,765000,229500,150000,76500,61000,535500,248000,2130,765,99,1.3
2024-11-15,Europe,Software,640000,192000,130000,64000,46000,448000,208000,1780,640,100,1.1
2024-11-15,Asia_Pacific,Software,560000,168000,115000,56000,42000,392000,179000,1560,560,100,1.5
2024-11-15,North_America,Hardware,510000,306000,84000,51000,29000,204000,40000,1020,510,100,2.2
2024-11-15,Europe,Hardware,435000,261000,75000,43500,22000,174000,33500,870,435,100,2.0
2024-12-15,North_America,Software,810000,243000,158000,81000,64000,567000,264000,2255,810,100,1.2
2024-12-15,Europe,Software,680000,204000,137000,68000,49000,476000,222000,1890,680,100,1.0
2024-12-15,Asia_Pacific,Software,595000,178500,122000,59500,44000,416500,191000,1655,595,100,1.4
2024-12-15,North_America,Hardware,540000,324000,89000,54000,31000,216000,42000,1080,540,100,2.1
2024-12-15,Europe,Hardware,460000,276000,79000,46000,24000,184000,35000,920,460,100,1.9
2025-01-15,North_America,Software,855000,256500,165000,85500,67000,598500,281000,2380,855,99,1.1
2025-01-15,Europe,Software,720000,216000,143000,72000,51000,504000,238000,2000,720,100,0.9
2025-01-15,Asia_Pacific,Software,630000,189000,128000,63000,47000,441000,203000,1750,630,100,1.3
2025-01-15,North_America,Hardware,575000,345000,94000,57500,33000,230000,45500,1150,575,100,2.0
2025-01-15,Europe,Hardware,490000,294000,84000,49000,25000,196000,38000,980,490,100,1.8
2025-01-15,North_America,Cloud_Services,320000,64000,75000,32000,28000,256000,121000,640,320,100,1.5
2025-01-15,Europe,Cloud_Services,270000,54000,65000,27000,24000,216000,100000,540,270,100,1.4
2025-02-15,North_America,Software,900000,270000,172000,90000,70000,630000,298000,2505,900,100,1.0
2025-02-15,Europe,Software,760000,228000,149000,76000,54000,532000,253000,2110,760,100,0.8
2025-02-15,Asia_Pacific,Software,665000,199500,134000,66500,49000,465500,216000,1850,665,100,1.2
2025-02-15,North_America,Hardware,610000,366000,99000,61000,35000,244000,49000,1220,610,100,1.9
2025-02-15,Europe,Hardware,520000,312000,89000,52000,27000,208000,40000,1040,520,100,1.7
2025-02-15,North_America,Cloud_Services,355000,71000,80000,35500,31000,284000,137500,710,355,100,1.4
2025-02-15,Europe,Cloud_Services,295000,59000,70000,29500,26000,236000,111500,590,295,100,1.3
2025-03-15,North_America,Software,950000,285000,180000,95000,74000,665000,316000,2645,950,99,0.9
2025-03-15,Europe,Software,805000,241500,156000,80500,57000,563500,270000,2240,805,100,0.7
2025-03-15,Asia_Pacific,Software,705000,211500,141000,70500,52000,493500,230500,1960,705,100,1.1
2025-03-15,North_America,Hardware,650000,390000,105000,65000,38000,260000,52000,1300,650,100,1.8
2025-03-15,Europe,Hardware,555000,333000,95000,55500,29000,222000,42500,1110,555,100,1.6
2025-03-15,North_America,Cloud_Services,390000,78000,86000,39000,34000,312000,153000,780,390,100,1.3
2025-03-15,Europe,Cloud_Services,325000,65000,76000,32500,29000,260000,127500,650,325,100,1.2
2025-04-15,North_America,Software,1000000,300000,188000,100000,77000,700000,335000,2785,1000,100,0.8
2025-04-15,Europe,Software,850000,255000,163000,85000,60000,595000,287000,2365,850,100,0.6
2025-04-15,Asia_Pacific,Software,745000,223500,148000,74500,55000,521500,244000,2075,745,100,1.0
2025-04-15,North_America,Hardware,690000,414000,111000,69000,40000,276000,56000,1380,690,100,1.7
2025-04-15,Europe,Hardware,590000,354000,100000,59000,31000,236000,46000,1180,590,100,1.5
2025-04-15,North_America,Cloud_Services,425000,85000,92000,42500,37000,340000,168500,850,425,100,1.2
2025-04-15,Europe,Cloud_Services,355000,71000,82000,35500,32000,284000,139500,710,355,100,1.1
2025-05-15,North_America,Software,1055000,316500,196000,105500,81000,738500,355500,2935,1055,99,0.7
2025-05-15,Europe,Software,895000,268500,170000,89500,63000,626500,304000,2490,895,100,0.5
2025-05-15,Asia_Pacific,Software,785000,235500,155000,78500,57000,549500,259000,2185,785,100,0.9
2025-05-15,North_America,Hardware,735000,441000,118000,73500,43000,294000,59500,1470,735,100,1.6
2025-05-15,Europe,Hardware,625000,375000,106000,62500,33000,250000,48500,1250,625,100,1.4
2025-05-15,North_America,Cloud_Services,465000,93000,99000,46500,40000,372000,186500,930,465,100,1.1
2025-05-15,Europe,Cloud_Services,390000,78000,88000,39000,35000,312000,150000,780,390,100,1.0
2025-06-15,North_America,Software,1115000,334500,204000,111500,85000,780500,374500,3100,1115,100,0.6
2025-06-15,Europe,Software,945000,283500,178000,94500,66000,661500,323000,2630,945,100,0.4
2025-06-15,Asia_Pacific,Software,830000,249000,162000,83000,60000,581000,276000,2310,830,100,0.8
2025-06-15,North_America,Hardware,780000,468000,125000,78000,45000,312000,64000,1560,780,100,1.5
2025-06-15,Europe,Hardware,665000,399000,112000,66500,35000,266000,52500,1330,665,100,1.3
2025-06-15,North_America,Cloud_Services,505000,101000,106000,50500,43000,404000,204500,1010,505,100,1.0
2025-06-15,Europe,Cloud_Services,425000,85000,94000,42500,37000,340000,166500,850,425,100,0.9
